Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task)
Reading (Covert),0.00620,0.03765,0.10874,0.26732,0.41723,0.08598,0.00437,0.01803,0.01833,0.03615
Reading (Overt),0.00007,0.41659,0.22538,0.15450,0.06148,0.05382,0.00242,0.00712,0.02479,0.05382
Recitation/Repetition (Covert),0.00062,0.12712,0.26536,0.05665,0.32798,0.02945,0.12052,0.07221,0.00005,0.00003
Recitation/Repetition (Overt),0.00004,0.84207,0.08558,0.00001,0.07224,0.00001,0.00002,0.00001,0.00001,0.00001
Rest,0.04983,0.10553,0.04215,0.02657,0.00039,0.00001,0.07283,0.18201,0.36680,0.15386
Reward Task,0.05158,0.02074,0.02312,0.04796,0.02121,0.05658,0.08492,0.06965,0.04025,0.58398
Saccades,0.02967,0.04398,0.00006,0.00523,0.00666,0.81777,0.03868,0.00050,0.00058,0.05686
Semantic Monitor/Discrimination,0.03045,0.00284,0.09595,0.14185,0.46531,0.00813,0.00183,0.03827,0.14657,0.06879
Sequence Recall/Learning,0.29130,0.04065,0.07382,0.02736,0.05047,0.26460,0.01228,0.07032,0.08134,0.08787
Simon Task,0.11138,0.02143,0.08990,0.15710,0.01544,0.12982,0.28941,0.06084,0.11762,0.00706
Sleep,0.23238,0.00079,0.00147,0.00051,0.00082,0.10716,0.29873,0.00269,0.06181,0.29363
Spatial/Location Discrimination,0.02623,0.00583,0.00854,0.26318,0.00542,0.18748,0.09638,0.21542,0.11004,0.08149
Sternberg Task,0.03352,0.02802,0.00153,0.01547,0.33559,0.08631,0.12083,0.28831,0.02877,0.06166
Stroop Task,0.00053,0.00459,0.02787,0.08660,0.17893,0.05343,0.18466,0.27254,0.09180,0.09906
Subjective Emotional Picture Discrimination,0.01207,0.00012,0.00811,0.15302,0.13823,0.06242,0.03510,0.01680,0.42702,0.14712
Syntactic Discrimination,0.00004,0.02492,0.31038,0.00083,0.23957,0.00003,0.11705,0.09664,0.13505,0.07549
Tactile Monitor/Discrimination,0.28597,0.23672,0.03300,0.03878,0.01902,0.07209,0.14110,0.10824,0.05243,0.01267
Task Switching,0.07665,0.00398,0.00125,0.09003,0.20086,0.15859,0.10125,0.33797,0.00037,0.02905
Theory of Mind Task,0.00065,0.00002,0.22416,0.06369,0.02004,0.03805,0.00009,0.07486,0.57347,0.00496
Tone Monitor/Discrimination,0.01193,0.07720,0.26910,0.00004,0.08002,0.16919,0.17464,0.16009,0.00973,0.04806
Tower of London,0.00070,0.00004,0.00003,0.00002,0.00011,0.15838,0.10546,0.44343,0.02795,0.26387
Transcranial Magnetic Stimulation,0.38445,0.17423,0.04712,0.01046,0.00011,0.01563,0.13825,0.02619,0.17321,0.03036
Vibrotactile Monitor/Discrimination,0.94299,0.01257,0.00004,0.00002,0.00274,0.00005,0.00004,0.00035,0.00004,0.04117
Video Games,0.00038,0.00027,0.11440,0.00226,0.00014,0.00033,0.00717,0.31117,0.56363,0.00026
Visual Distractor/Visual Attention,0.07727,0.02208,0.02492,0.24455,0.02739,0.35125,0.11919,0.08780,0.03332,0.01223
Visual Pursuit/Tracking,0.11890,0.01212,0.00003,0.45180,0.00002,0.36282,0.03267,0.01230,0.00228,0.00705
Whistling,0.11732,0.82002,0.00004,0.04628,0.00005,0.00005,0.00005,0.00004,0.00461,0.01154
Wisconsin Card Sorting Test,0.03370,0.01250,0.00070,0.16900,0.03949,0.05061,0.02363,0.61151,0.00099,0.05786
Word Generation (Covert),0.02295,0.00204,0.06596,0.06522,0.57501,0.03083,0.07085,0.09533,0.04428,0.02753
Word Generation (Overt),0.00443,0.03460,0.11041,0.00232,0.54788,0.00225,0.09585,0.00856,0.12013,0.07357
Word Stem Completion (Covert),0.00008,0.12515,0.00014,0.00405,0.84951,0.00013,0.01820,0.00254,0.00011,0.00009
Word Stem Completion (Overt),0.00003,0.06209,0.05119,0.00263,0.47865,0.03034,0.06103,0.24444,0.00187,0.06772
Writing,0.70860,0.00171,0.02747,0.01804,0.02643,0.21759,0.00004,0.00006,0.00003,0.00004
n-back,0.04434,0.01148,0.02654,0.07892,0.15531,0.11066,0.12310,0.39254,0.03021,0.02691
