Tasks,Pr(Comp 1 | Task),Pr(Comp 2 | Task),Pr(Comp 3 | Task),Pr(Comp 4 | Task),Pr(Comp 5 | Task),Pr(Comp 6 | Task),Pr(Comp 7 | Task),Pr(Comp 8 | Task),Pr(Comp 9 | Task),Pr(Comp 10 | Task),Pr(Comp 11 | Task)
Stroop Task,0.00061,0.01175,0.02439,0.08465,0.20680,0.04400,0.03822,0.26016,0.15718,0.03191,0.14033
Subjective Emotional Picture Discrimination,0.01261,0.00151,0.01029,0.06779,0.15788,0.06150,0.00328,0.00239,0.26860,0.30664,0.10753
Syntactic Discrimination,0.00004,0.03248,0.33962,0.00004,0.20610,0.00003,0.07169,0.14044,0.01123,0.11898,0.07935
Tactile Monitor/Discrimination,0.26845,0.05419,0.02390,0.06358,0.02489,0.05575,0.34237,0.07875,0.07434,0.00391,0.00988
Task Switching,0.08187,0.01421,0.00412,0.12024,0.22460,0.13553,0.01420,0.34110,0.01169,0.00177,0.05066
Theory of Mind Task,0.00024,0.00002,0.19012,0.02482,0.01905,0.03009,0.00007,0.01202,0.62572,0.09783,0.00002
Tone Monitor/Discrimination,0.00738,0.07029,0.27099,0.00390,0.06680,0.16079,0.12527,0.20652,0.00390,0.01253,0.07163
Tower of London,0.00005,0.00004,0.00003,0.00002,0.00490,0.20515,0.00010,0.40841,0.05778,0.00983,0.31369
Transcranial Magnetic Stimulation,0.39286,0.03047,0.06016,0.00005,0.00016,0.02695,0.22977,0.02165,0.05524,0.12594,0.05676
Vibrotactile Monitor/Discrimination,0.93156,0.00489,0.00004,0.00001,0.00009,0.00005,0.00003,0.00047,0.00006,0.00002,0.06277
Video Games,0.00021,0.00013,0.05238,0.00038,0.00014,0.00246,0.07543,0.19613,0.36859,0.30393,0.00022
Visual Distractor/Visual Attention,0.07998,0.02431,0.02274,0.30276,0.04422,0.27017,0.05019,0.10420,0.04073,0.02578,0.03491
Visual Pursuit/Tracking,0.13265,0.00918,0.00005,0.61758,0.00002,0.16210,0.01799,0.00856,0.03032,0.00018,0.02137
Whistling,0.15619,0.73858,0.00003,0.00043,0.00004,0.00004,0.05457,0.00004,0.00028,0.04601,0.00379
Wisconsin Card Sorting Test,0.02888,0.00002,0.00301,0.23621,0.05587,0.01976,0.01769,0.50101,0.09552,0.00112,0.04091
Word Generation (Covert),0.02895,0.02770,0.05540,0.06006,0.59049,0.03329,0.02014,0.05114,0.11685,0.00414,0.01184
Word Generation (Overt),0.00893,0.07636,0.11104,0.00002,0.53225,0.00606,0.03186,0.00875,0.10064,0.03950,0.08461
Word Stem Completion (Covert),0.00007,0.29198,0.00010,0.00018,0.69850,0.00010,0.00015,0.00852,0.00023,0.00009,0.00009
Word Stem Completion (Overt),0.00003,0.08615,0.05699,0.00360,0.48507,0.03540,0.01415,0.21369,0.04663,0.00006,0.05823
Writing,0.69699,0.00070,0.03680,0.03573,0.01699,0.21259,0.00004,0.00005,0.00003,0.00003,0.00003
n-back,0.03895,0.02243,0.02656,0.06868,0.17744,0.11066,0.02547,0.40957,0.06187,0.02733,0.03104
