Int-Region1	Seg-Region1	Int-Region2	Seg-Region2	Int-Region4	Seg-Region4	Int-Region5	Seg-Region5	Int-No entry	Seg-No entry
(20,24,2)	(20,24,2)	(20,23,2)	(20,23,2)	(20,21,2)	(20,21,2)	(20,20,2)	(20,20,2)			
(21,24,2)	(21,24,2)	(21,23,2)	(21,23,2)	(21,21,2)	(21,21,2)	(21,20,2)	(21,20,2)			
(22,24,2)	(22,24,2)	(22,23,2)	(22,23,2)	(22,21,2)	(22,21,2)	(22,20,2)	(22,20,2)			
(23,24,2)	(23,24,2)	(23,23,2)	(23,23,2)	(23,21,2)	(23,21,2)	(23,20,2)	(23,20,2)			
(24,24,2)	(24,24,2)	(24,23,2)	(24,23,2)	(24,21,2)	(24,21,2)	(24,20,2)	(24,20,2)			
(0,24,3)	(0,24,3)	(0,23,3)	(0,23,3)	(0,21,3)	(0,21,3)	(0,20,3)	(0,20,3)			
(1,24,3)	(1,24,3)	(1,23,3)	(1,23,3)	(1,21,3)	(1,21,3)	(1,20,3)	(1,20,3)			
(2,24,3)	(2,24,3)	(2,23,3)	(2,23,3)	(2,21,3)	(2,21,3)	(2,20,3)	(2,20,3)			
(3,24,3)	(3,24,3)	(3,23,3)	(3,23,3)	(3,21,3)	(3,21,3)	(3,20,3)	(3,20,3)			
(4,24,3)	(4,24,3)	(4,23,3)	(4,23,3)	(4,21,3)	(4,21,3)	(4,20,3)	(4,20,3)			
(5,24,3)	(5,24,3)	(5,23,3)	(5,23,3)	(5,21,3)	(5,21,3)	(5,20,3)	(5,20,3)			
(6,24,3)	(6,24,3)	(6,23,3)	(6,23,3)	(6,21,3)	(6,21,3)	(6,20,3)	(6,20,3)			
(7,24,3)	(7,24,3)	(7,23,3)	(7,23,3)	(7,21,3)	(7,21,3)	(7,20,3)	(7,20,3)			
(8,24,3)	(8,24,3)	(8,23,3)	(8,23,3)	(8,21,3)	(8,21,3)	(8,20,3)	(8,20,3)			
(9,24,3)	(9,24,3)	(9,23,3)	(9,23,3)	(9,21,3)	(9,21,3)	(9,20,3)	(9,20,3)			
(10,24,3)	(10,24,3)	(10,23,3)	(10,23,3)	(10,21,3)	(10,21,3)	(10,20,3)	(10,20,3)			
(11,24,3)	(11,24,3)	(11,23,3)	(11,23,3)	(11,21,3)	(11,21,3)	(11,20,3)	(11,20,3)			
(12,24,3)	(12,24,3)	(12,23,3)	(12,23,3)	(12,21,3)	(12,21,3)	(12,20,3)	(12,20,3)			
(13,24,3)	(13,24,3)	(13,23,3)	(13,23,3)	(13,21,3)	(13,21,3)	(13,20,3)	(13,20,3)			
(14,24,3)	(14,24,3)	(14,23,3)	(14,23,3)	(14,21,3)	(14,21,3)	(14,20,3)	(14,20,3)			
(15,24,3)	(15,24,3)	(15,23,3)	(15,23,3)	(15,21,3)	(15,21,3)	(15,20,3)	(15,20,3)			
(16,24,3)	(16,24,3)	(16,23,3)	(16,23,3)	(16,21,3)	(16,21,3)	(16,20,3)	(16,20,3)			
(17,24,3)	(17,24,3)	(17,23,3)	(17,23,3)	(17,21,3)	(17,21,3)	(17,20,3)	(17,20,3)			
(18,24,3)	(18,24,3)	(18,23,3)	(18,23,3)	(18,21,3)	(18,21,3)	(18,20,3)	(18,20,3)			
(19,24,3)	(19,24,3)	(19,23,3)	(19,23,3)	(19,21,3)	(19,21,3)	(19,20,3)	(19,20,3)			
(20,24,3)	(20,24,3)	(20,23,3)	(20,23,3)	(20,21,3)	(20,21,3)	(20,20,3)	(20,20,3)			
(21,24,3)	(21,24,3)	(21,23,3)	(21,23,3)	(21,21,3)	(21,21,3)	(21,20,3)	(21,20,3)			
(22,24,3)	(22,24,3)	(22,23,3)	(22,23,3)	(22,21,3)	(22,21,3)	(22,20,3)	(22,20,3)			
(23,24,3)	(23,24,3)	(23,23,3)	(23,23,3)	(23,21,3)	(23,21,3)	(23,20,3)	(23,20,3)			
(24,24,3)	(24,24,3)	(24,23,3)	(24,23,3)	(24,21,3)	(24,21,3)	(24,20,3)	(24,20,3)			
(0,24,4)	(0,24,4)	(0,23,4)	(0,23,4)	(0,21,4)	(0,21,4)	(0,20,4)	(0,20,4)			
(1,24,4)	(1,24,4)	(1,23,4)	(1,23,4)	(1,21,4)	(1,21,4)	(1,20,4)	(1,20,4)			
(2,24,4)	(2,24,4)	(2,23,4)	(2,23,4)	(2,21,4)	(2,21,4)	(2,20,4)	(2,20,4)			
(3,24,4)	(3,24,4)	(3,23,4)	(3,23,4)	(3,21,4)	(3,21,4)	(3,20,4)	(3,20,4)			
(4,24,4)	(4,24,4)	(4,23,4)	(4,23,4)	(4,21,4)	(4,21,4)	(4,20,4)	(4,20,4)			
(5,24,4)	(5,24,4)	(5,23,4)	(5,23,4)	(5,21,4)	(5,21,4)	(5,20,4)	(5,20,4)			
(6,24,4)	(6,24,4)	(6,23,4)	(6,23,4)	(6,21,4)	(6,21,4)	(6,20,4)	(6,20,4)			
(7,24,4)	(7,24,4)	(7,23,4)	(7,23,4)	(7,21,4)	(7,21,4)	(7,20,4)	(7,20,4)			
(8,24,4)	(8,24,4)	(8,23,4)	(8,23,4)	(8,21,4)	(8,21,4)	(8,20,4)	(8,20,4)			
(9,24,4)	(9,24,4)	(9,23,4)	(9,23,4)	(9,21,4)	(9,21,4)	(9,20,4)	(9,20,4)			
(10,24,4)	(10,24,4)	(10,23,4)	(10,23,4)	(10,21,4)	(10,21,4)	(10,20,4)	(10,20,4)			
(11,24,4)	(11,24,4)	(11,23,4)	(11,23,4)	(11,21,4)	(11,21,4)	(11,20,4)	(11,20,4)			
(12,24,4)	(12,24,4)	(12,23,4)	(12,23,4)	(12,21,4)	(12,21,4)	(12,20,4)	(12,20,4)			
(13,24,4)	(13,24,4)	(13,23,4)	(13,23,4)	(13,21,4)	(13,21,4)	(13,20,4)	(13,20,4)			
(14,24,4)	(14,24,4)	(14,23,4)	(14,23,4)	(14,21,4)	(14,21,4)	(14,20,4)	(14,20,4)			
(15,24,4)	(15,24,4)	(15,23,4)	(15,23,4)	(15,21,4)	(15,21,4)	(15,20,4)	(15,20,4)			
(16,24,4)	(16,24,4)	(16,23,4)	(16,23,4)	(16,21,4)	(16,21,4)	(16,20,4)	(16,20,4)			
(17,24,4)	(17,24,4)	(17,23,4)	(17,23,4)	(17,21,4)	(17,21,4)	(17,20,4)	(17,20,4)			
(18,24,4)	(18,24,4)	(18,23,4)	(18,23,4)	(18,21,4)	(18,21,4)	(18,20,4)	(18,20,4)			
(19,24,4)	(19,24,4)	(19,23,4)	(19,23,4)	(19,21,4)	(19,21,4)	(19,20,4)	(19,20,4)			
(20,24,4)	(20,24,4)	(20,23,4)	(20,23,4)	(20,21,4)	(20,21,4)	(20,20,4)	(20,20,4)			
(21,24,4)	(21,24,4)	(21,23,4)	(21,23,4)	(21,21,4)	(21,21,4)	(21,20,4)	(21,20,4)			
(22,24,4)	(22,24,4)	(22,23,4)	(22,23,4)	(22,21,4)	(22,21,4)	(22,20,4)	(22,20,4)			
(23,24,4)	(23,24,4)	(23,23,4)	(23,23,4)	(23,21,4)	(23,21,4)	(23,20,4)	(23,20,4)			
(24,24,4)	(24,24,4)	(24,23,4)	(24,23,4)	(24,21,4)	(24,21,4)	(24,20,4)	(24,20,4)			
(0,24,5)	(0,24,5)	(0,23,5)	(0,23,5)	(0,21,5)	(0,21,5)	(0,20,5)	(0,20,5)			
(1,24,5)	(1,24,5)	(1,23,5)	(1,23,5)	(1,21,5)	(1,21,5)	(1,20,5)	(1,20,5)			
(2,24,5)	(2,24,5)	(2,23,5)	(2,23,5)	(2,21,5)	(2,21,5)	(2,20,5)	(2,20,5)			
(3,24,5)	(3,24,5)	(3,23,5)	(3,23,5)	(3,21,5)	(3,21,5)	(3,20,5)	(3,20,5)			
(4,24,5)	(4,24,5)	(4,23,5)	(4,23,5)	(4,21,5)	(4,21,5)	(4,20,5)	(4,20,5)			
(5,24,5)	(5,24,5)	(5,23,5)	(5,23,5)	(5,21,5)	(5,21,5)	(5,20,5)	(5,20,5)			
(6,24,5)	(6,24,5)	(6,23,5)	(6,23,5)	(6,21,5)	(6,21,5)	(6,20,5)	(6,20,5)			
(7,24,5)	(7,24,5)	(7,23,5)	(7,23,5)	(7,21,5)	(7,21,5)	(7,20,5)	(7,20,5)			
(8,24,5)	(8,24,5)	(8,23,5)	(8,23,5)	(8,21,5)	(8,21,5)	(8,20,5)	(8,20,5)			
(9,24,5)	(9,24,5)	(9,23,5)	(9,23,5)	(9,21,5)	(9,21,5)	(9,20,5)	(9,20,5)			
(10,24,5)	(10,24,5)	(10,23,5)	(10,23,5)	(10,21,5)	(10,21,5)	(10,20,5)	(10,20,5)			
(11,24,5)	(11,24,5)	(11,23,5)	(11,23,5)	(11,21,5)	(11,21,5)	(11,20,5)	(11,20,5)			
(12,24,5)	(12,24,5)	(12,23,5)	(12,23,5)	(12,21,5)	(12,21,5)	(12,20,5)	(12,20,5)			
(13,24,5)	(13,24,5)	(13,23,5)	(13,23,5)	(13,21,5)	(13,21,5)	(13,20,5)	(13,20,5)			
(14,24,5)	(14,24,5)	(14,23,5)	(14,23,5)	(14,21,5)	(14,21,5)	(14,20,5)	(14,20,5)			
(15,24,5)	(15,24,5)	(15,23,5)	(15,23,5)	(15,21,5)	(15,21,5)	(15,20,5)	(15,20,5)			
(16,24,5)	(16,24,5)	(16,23,5)	(16,23,5)	(16,21,5)	(16,21,5)	(16,20,5)	(16,20,5)			
(17,24,5)	(17,24,5)	(17,23,5)	(17,23,5)	(17,21,5)	(17,21,5)	(17,20,5)	(17,20,5)			
(18,24,5)	(18,24,5)	(18,23,5)	(18,23,5)	(18,21,5)	(18,21,5)	(18,20,5)	(18,20,5)			
(19,24,5)	(19,24,5)	(19,23,5)	(19,23,5)	(19,21,5)	(19,21,5)	(19,20,5)	(19,20,5)			
(20,24,5)	(20,24,5)	(20,23,5)	(20,23,5)	(20,21,5)	(20,21,5)	(20,20,5)	(20,20,5)			
(21,24,5)	(21,24,5)	(21,23,5)	(21,23,5)	(21,21,5)	(21,21,5)	(21,20,5)	(21,20,5)			
(22,24,5)	(22,24,5)	(22,23,5)	(22,23,5)	(22,21,5)	(22,21,5)	(22,20,5)	(22,20,5)			
(23,24,5)	(23,24,5)	(23,23,5)	(23,23,5)	(23,21,5)	(23,21,5)	(23,20,5)	(23,20,5)			
(24,24,5)	(24,24,5)	(24,23,5)	(24,23,5)	(24,21,5)	(24,21,5)	(24,20,5)	(24,20,5)			
(0,24,6)	(0,24,6)	(0,23,6)	(0,23,6)	(0,21,6)	(0,21,6)	(0,20,6)	(0,20,6)			
(1,24,6)	(1,24,6)	(1,23,6)	(1,23,6)	(1,21,6)	(1,21,6)	(1,20,6)	(1,20,6)			
(2,24,6)	(2,24,6)	(2,23,6)	(2,23,6)	(2,21,6)	(2,21,6)	(2,20,6)	(2,20,6)			
(3,24,6)	(3,24,6)	(3,23,6)	(3,23,6)	(3,21,6)	(3,21,6)	(3,20,6)	(3,20,6)			
(4,24,6)	(4,24,6)	(4,23,6)	(4,23,6)	(4,21,6)	(4,21,6)	(4,20,6)	(4,20,6)			
(5,24,6)	(5,24,6)	(5,23,6)	(5,23,6)	(5,21,6)	(5,21,6)	(5,20,6)	(5,20,6)			
(6,24,6)	(6,24,6)	(6,23,6)	(6,23,6)	(6,21,6)	(6,21,6)	(6,20,6)	(6,20,6)			
(7,24,6)	(7,24,6)	(7,23,6)	(7,23,6)	(7,21,6)	(7,21,6)	(7,20,6)	(7,20,6)			
(8,24,6)	(8,24,6)	(8,23,6)	(8,23,6)	(8,21,6)	(8,21,6)	(8,20,6)	(8,20,6)			
(9,24,6)	(9,24,6)	(9,23,6)	(9,23,6)	(9,21,6)	(9,21,6)	(9,20,6)	(9,20,6)			
(10,24,6)	(10,24,6)	(10,23,6)	(10,23,6)	(10,21,6)	(10,21,6)	(10,20,6)	(10,20,6)			
(11,24,6)	(11,24,6)	(11,23,6)	(11,23,6)	(11,21,6)	(11,21,6)	(11,20,6)	(11,20,6)			
(12,24,6)	(12,24,6)	(12,23,6)	(12,23,6)	(12,21,6)	(12,21,6)	(12,20,6)	(12,20,6)			
(13,24,6)	(13,24,6)	(13,23,6)	(13,23,6)	(13,21,6)	(13,21,6)	(13,20,6)	(13,20,6)			
(14,24,6)	(14,24,6)	(14,23,6)	(14,23,6)	(14,21,6)	(14,21,6)	(14,20,6)	(14,20,6)			
(15,24,6)	(15,24,6)	(15,23,6)	(15,23,6)	(15,21,6)	(15,21,6)	(15,20,6)	(15,20,6)			
(16,24,6)	(16,24,6)	(16,23,6)	(16,23,6)	(16,21,6)	(16,21,6)	(16,20,6)	(16,20,6)			
(17,24,6)	(17,24,6)	(17,23,6)	(17,23,6)	(17,21,6)	(17,21,6)	(17,20,6)	(17,20,6)			
(18,24,6)	(18,24,6)	(18,23,6)	(18,23,6)	(18,21,6)	(18,21,6)	(18,20,6)	(18,20,6)			
(19,24,6)	(19,24,6)	(19,23,6)	(19,23,6)	(19,21,6)	(19,21,6)	(19,20,6)	(19,20,6)			
(20,24,6)	(20,24,6)	(20,23,6)	(20,23,6)	(20,21,6)	(20,21,6)	(20,20,6)	(20,20,6)			
(21,24,6)	(21,24,6)	(21,23,6)	(21,23,6)	(21,21,6)	(21,21,6)	(21,20,6)	(21,20,6)			
(22,24,6)	(22,24,6)	(22,23,6)	(22,23,6)	(22,21,6)	(22,21,6)	(22,20,6)	(22,20,6)			
(23,24,6)	(23,24,6)	(23,23,6)	(23,23,6)	(23,21,6)	(23,21,6)	(23,20,6)	(23,20,6)			
(24,24,6)	(24,24,6)	(24,23,6)	(24,23,6)	(24,21,6)	(24,21,6)	(24,20,6)	(24,20,6)			
(0,24,7)	(0,24,7)	(0,23,7)	(0,23,7)	(0,21,7)	(0,21,7)	(0,20,7)	(0,20,7)			
(1,24,7)	(1,24,7)	(1,23,7)	(1,23,7)	(1,21,7)	(1,21,7)	(1,20,7)	(1,20,7)			
(2,24,7)	(2,24,7)	(2,23,7)	(2,23,7)	(2,21,7)	(2,21,7)	(2,20,7)	(2,20,7)			
(3,24,7)	(3,24,7)	(3,23,7)	(3,23,7)	(3,21,7)	(3,21,7)	(3,20,7)	(3,20,7)			
(4,24,7)	(4,24,7)	(4,23,7)	(4,23,7)	(4,21,7)	(4,21,7)	(4,20,7)	(4,20,7)			
(5,24,7)	(5,24,7)	(5,23,7)	(5,23,7)	(5,21,7)	(5,21,7)	(5,20,7)	(5,20,7)			
(6,24,7)	(6,24,7)	(6,23,7)	(6,23,7)	(6,21,7)	(6,21,7)	(6,20,7)	(6,20,7)			
(7,24,7)	(7,24,7)	(7,23,7)	(7,23,7)	(7,21,7)	(7,21,7)	(7,20,7)	(7,20,7)			
(8,24,7)	(8,24,7)	(8,23,7)	(8,23,7)	(8,21,7)	(8,21,7)	(8,20,7)	(8,20,7)			
(9,24,7)	(9,24,7)	(9,23,7)	(9,23,7)	(9,21,7)	(9,21,7)	(9,20,7)	(9,20,7)			
(10,24,7)	(10,24,7)	(10,23,7)	(10,23,7)	(10,21,7)	(10,21,7)	(10,20,7)	(10,20,7)			
(11,24,7)	(11,24,7)	(11,23,7)	(11,23,7)	(11,21,7)	(11,21,7)	(11,20,7)	(11,20,7)			
(12,24,7)	(12,24,7)	(12,23,7)	(12,23,7)	(12,21,7)	(12,21,7)	(12,20,7)	(12,20,7)			
(13,24,7)	(13,24,7)	(13,23,7)	(13,23,7)	(13,21,7)	(13,21,7)	(13,20,7)	(13,20,7)			
(14,24,7)	(14,24,7)	(14,23,7)	(14,23,7)	(14,21,7)	(14,21,7)	(14,20,7)	(14,20,7)			
(15,24,7)	(15,24,7)	(15,23,7)	(15,23,7)	(15,21,7)	(15,21,7)	(15,20,7)	(15,20,7)			
(16,24,7)	(16,24,7)	(16,23,7)	(16,23,7)	(16,21,7)	(16,21,7)	(16,20,7)	(16,20,7)			
(17,24,7)	(17,24,7)	(17,23,7)	(17,23,7)	(17,21,7)	(17,21,7)	(17,20,7)	(17,20,7)			
(18,24,7)	(18,24,7)	(18,23,7)	(18,23,7)	(18,21,7)	(18,21,7)	(18,20,7)	(18,20,7)			
(19,24,7)	(19,24,7)	(19,23,7)	(19,23,7)	(19,21,7)	(19,21,7)	(19,20,7)	(19,20,7)			
(20,24,7)	(20,24,7)	(20,23,7)	(20,23,7)	(20,21,7)	(20,21,7)	(20,20,7)	(20,20,7)			
(21,24,7)	(21,24,7)	(21,23,7)	(21,23,7)	(21,21,7)	(21,21,7)	(21,20,7)	(21,20,7)			
(22,24,7)	(22,24,7)	(22,23,7)	(22,23,7)	(22,21,7)	(22,21,7)	(22,20,7)	(22,20,7)			
(23,24,7)	(23,24,7)	(23,23,7)	(23,23,7)	(23,21,7)	(23,21,7)	(23,20,7)	(23,20,7)			
(24,24,7)	(24,24,7)	(24,23,7)	(24,23,7)	(24,21,7)	(24,21,7)	(24,20,7)	(24,20,7)			
(0,24,8)	(0,24,8)	(0,23,8)	(0,23,8)	(0,21,8)	(0,21,8)	(0,20,8)	(0,20,8)			
(1,24,8)	(1,24,8)	(1,23,8)	(1,23,8)	(1,21,8)	(1,21,8)	(1,20,8)	(1,20,8)			
(2,24,8)	(2,24,8)	(2,23,8)	(2,23,8)	(2,21,8)	(2,21,8)	(2,20,8)	(2,20,8)			
(3,24,8)	(3,24,8)	(3,23,8)	(3,23,8)	(3,21,8)	(3,21,8)	(3,20,8)	(3,20,8)			
(4,24,8)	(4,24,8)	(4,23,8)	(4,23,8)	(4,21,8)	(4,21,8)	(4,20,8)	(4,20,8)			
(5,24,8)	(5,24,8)	(5,23,8)	(5,23,8)	(5,21,8)	(5,21,8)	(5,20,8)	(5,20,8)			
(6,24,8)	(6,24,8)	(6,23,8)	(6,23,8)	(6,21,8)	(6,21,8)	(6,20,8)	(6,20,8)			
(7,24,8)	(7,24,8)	(7,23,8)	(7,23,8)	(7,21,8)	(7,21,8)	(7,20,8)	(7,20,8)			
(8,24,8)	(8,24,8)	(8,23,8)	(8,23,8)	(8,21,8)	(8,21,8)	(8,20,8)	(8,20,8)			
(9,24,8)	(9,24,8)	(9,23,8)	(9,23,8)	(9,21,8)	(9,21,8)	(9,20,8)	(9,20,8)			
(10,24,8)	(10,24,8)	(10,23,8)	(10,23,8)	(10,21,8)	(10,21,8)	(10,20,8)	(10,20,8)			
(11,24,8)	(11,24,8)	(11,23,8)	(11,23,8)	(11,21,8)	(11,21,8)	(11,20,8)	(11,20,8)			
(12,24,8)	(12,24,8)	(12,23,8)	(12,23,8)	(12,21,8)	(12,21,8)	(12,20,8)	(12,20,8)			
