10-comp Specialized ROIs,Top Component,11-comp Specialized ROIs,Top Component,12-comp Specialized ROIs,Top Component,13-comp Specialized ROIs,Top Component,14-comp Specialized ROIs,Top Component
140,3,140,6,140,4,140,7,140,13
141,1,141,10,141,7,141,12,141,14
142,1,142,10,142,1,142,11,142,8
143,9,143,10,143,3,143,5,143,9
144,9,144,8,144,11,144,13,144,12
145,9,145,9,145,11,145,13,145,5
146,9,146,9,146,11,146,10,146,5
147,10,147,9,147,12,147,1,147,4
148,10,148,9,148,12,148,9,148,13
149,10,149,9,149,10,149,9,149,14
150,2,150,1,150,10,150,4,150,8
151,2,151,1,151,10,151,11,151,9
152,6,152,11,152,10,152,5,152,12
153,6,153,11,153,9,153,5,153,12
154,6,154,2,154,4,154,5,154,3
155,6,155,2,155,4,155,13,155,7
156,8,156,2,156,7,156,2,156,7
157,3,157,2,157,7,157,2,157,7
158,7,158,6,158,8,158,8,158,7
159,7,159,6,159,1,159,8,159,11
160,7,160,6,160,11,160,3,160,11
161,7,161,10,161,11,161,12,161,11
162,7,162,10,162,11,162,1,162,11
163,4,163,10,163,11,163,1,163,11
164,4,164,8,164,12,164,9,164,13
165,4,165,4,165,6,165,11,165,13
166,1,166,4,166,10,166,11,166,14
167,1,167,7,167,10,167,5,167,14
168,1,168,7,168,10,168,5,168,14
169,1,169,3,169,9,169,5,169,2
170,1,170,9,170,9,170,5,170,9
171,9,171,9,171,4,171,5,171,9
172,9,172,9,172,7,172,5,172,12
173,9,173,9,173,7,173,5,173,12
174,9,174,9,174,7,174,5,174,12
175,10,175,9,175,7,175,13,175,11
176,10,176,9,176,8,176,2,176,11
177,10,177,9,177,8,177,2,177,11
178,10,178,9,178,8,178,10,178,11
179,10,179,1,179,1,179,10,179,11
180,6,180,1,180,1,180,8,180,5
181,6,181,1,181,3,181,8,181,4
182,6,182,11,182,11,182,7,182,1
183,6,183,11,183,11,183,12,183,1
184,6,184,11,184,11,184,12,184,13
185,8,185,11,185,11,185,1,185,13
186,8,186,2,186,11,186,9,186,13
187,8,187,2,187,11,187,9,187,14
188,8,188,2,188,11,188,9,188,8
189,8,189,2,189,11,189,11,189,8
190,8,190,2,190,11,190,11,190,8
191,8,191,6,191,12,191,11,191,8
192,8,192,6,192,12,192,11,192,9
193,3,193,6,193,6,193,5,193,12
194,3,194,10,194,6,194,5,194,12
195,3,195,8,195,6,195,2,195,3
196,3,196,8,196,6,196,10,196,7
197,3,197,8,197,6,197,8,197,7
198,3,198,8,198,10,198,8,198,11
199,3,199,8,199,10,199,7,199,5
200,7,200,8,200,10,200,12,200,10
201,7,201,8,201,10,201,12,201,1
202,7,202,8,202,10,202,1,202,1
203,7,203,4,203,10,203,9,203,1
204,7,204,4,204,10,204,9,204,1
205,7,205,7,205,10,205,9,205,13
206,4,206,7,206,10,206,9,206,13
207,4,207,7,207,9,207,4,207,13
208,4,208,7,208,9,208,11,208,14
209,4,209,3,209,9,209,11,209,14
210,4,210,3,210,9,210,11,210,14
211,1,211,9,211,2,211,11,211,14
212,1,212,9,212,2,212,11,212,14
213,1,213,9,213,4,213,11,213,14
214,1,214,9,214,4,214,11,214,14
215,9,215,9,215,4,215,11,215,14
216,9,216,9,216,4,216,11,216,8
217,9,217,9,217,7,217,11,217,8
218,9,218,9,218,7,218,11,218,8
219,9,219,9,219,7,219,11,219,8
220,9,220,9,220,7,220,11,220,8
221,9,221,9,221,7,221,11,221,2
222,9,222,9,222,7,222,11,222,9
223,9,223,9,223,7,223,11,223,9
224,9,224,9,224,1,224,11,224,9
225,9,225,9,225,1,225,5,225,9
226,9,226,9,226,1,226,5,226,9
227,9,227,9,227,1,227,5,227,12
228,9,228,9,228,1,228,5,228,12
,,229,9,229,1,229,5,229,12
,,230,9,230,1,230,5,230,12
,,231,1,,,231,13,231,3
,,232,1,,,232,13,232,3
,,233,1,,,233,2,233,3
,,234,1,,,234,2,234,3
,,235,1,,,235,2,235,7
,,236,1,,,236,2,236,7
,,237,1,,,237,2,237,7
,,238,11,,,238,2,238,7
,,239,11,,,239,10,239,7
,,240,11,,,240,10,240,11
,,241,11,,,241,10,241,11
,,,,,,242,10,242,11
,,,,,,243,8,243,11
,,,,,,244,8,244,11
,,,,,,245,8,245,11
,,,,,,246,7,246,11
,,,,,,247,7,247,11
,,,,,,248,7,248,11
,,,,,,249,7,249,11
,,,,,,250,7,250,11
,,,,,,251,7,251,11
,,,,,,252,7,252,11
,,,,,,253,7,253,11
,,,,,,254,3,254,11
,,,,,,255,3,255,11
,,,,,,256,3,256,11
,,,,,,257,3,257,11
,,,,,,258,3,258,11
,,,,,,259,12,259,5
,,,,,,260,12,260,5
,,,,,,261,12,261,5
,,,,,,262,12,262,5
,,,,,,263,12,263,5
,,,,,,264,12,264,5
,,,,,,265,12,265,10
,,,,,,266,12,266,10
,,,,,,267,12,267,10
,,,,,,268,12,268,10
,,,,,,269,12,269,4
,,,,,,270,12,270,4
,,,,,,271,12,271,4
,,,,,,272,12,272,4
,,,,,,273,12,,
,,,,,,274,1,,
,,,,,,275,1,,
,,,,,,276,1,,
,,,,,,277,1,,
,,,,,,278,1,,
,,,,,,279,1,,
,,,,,,280,9,,
,,,,,,281,9,,
,,,,,,282,9,,
,,,,,,283,9,,
,,,,,,284,9,,
,,,,,,285,9,,
,,,,,,286,9,,
,,,,,,287,9,,
,,,,,,288,9,,
,,,,,,289,9,,
,,,,,,290,9,,
,,,,,,291,9,,
