10-comp Specialized ROIs,Top Component,11-comp Specialized ROIs,Top Component,12-comp Specialized ROIs,Top Component,13-comp Specialized ROIs,Top Component,14-comp Specialized ROIs,Top Component
85,8,85,10,85,6,85,11,85,11
86,3,86,10,86,10,86,11,86,4
87,10,87,9,87,10,87,11,87,13
88,2,88,5,88,3,88,7,88,13
89,8,89,8,89,6,89,7,89,12
90,8,90,9,90,10,90,4,90,1
91,3,91,7,91,9,91,8,91,9
92,9,92,6,92,4,92,12,92,12
93,9,93,5,93,5,93,1,93,9
94,8,94,1,94,3,94,11,94,5
95,3,95,7,95,12,95,8,95,7
96,9,96,3,96,6,96,12,96,11
97,10,97,5,97,3,97,1,97,5
98,2,98,6,98,10,98,11,98,5
99,9,99,3,99,4,99,5,99,13
100,2,100,11,100,1,100,5,100,8
101,6,101,9,101,6,101,8,101,3
102,4,102,9,102,6,102,8,102,11
103,9,103,11,103,9,103,11,103,5
104,10,104,6,104,9,104,11,104,5
105,2,105,9,105,9,105,11,105,9
106,8,106,9,106,3,106,11,106,11
107,7,107,9,107,12,107,10,107,9
108,7,108,9,108,10,108,8,108,9
109,4,109,11,109,10,109,6,109,4
110,4,110,6,110,10,110,7,110,12
111,5,111,7,111,9,111,3,111,12
112,9,112,7,112,8,112,9,112,1
113,9,113,6,113,12,113,9,113,6
114,9,114,10,114,6,114,4,114,12
115,9,115,4,115,2,115,11,115,12
116,9,116,8,116,4,116,11,116,5
117,9,117,4,117,4,117,5,117,5
118,2,118,7,118,5,118,5,118,13
119,6,119,9,119,5,119,5,119,13
120,3,120,9,120,5,120,13,120,14
121,3,121,9,121,1,121,13,121,3
122,4,122,11,122,3,122,2,122,11
123,5,123,5,123,3,123,10,123,11
124,5,124,6,124,11,124,7,124,11
125,9,125,10,125,12,125,7,125,1
126,9,126,8,126,6,126,12,126,1
127,2,127,7,127,6,127,11,127,13
128,6,128,3,128,10,128,11,128,2
129,6,129,10,129,10,129,11,129,9
130,8,130,8,130,10,130,5,130,7
131,8,131,8,131,10,131,13,131,11
132,8,132,4,132,10,132,13,132,5
133,3,133,9,133,10,133,10,133,5
134,3,134,9,134,9,134,8,134,10
135,5,135,1,135,5,135,1,135,1
136,9,136,1,136,8,136,9,136,1
137,9,137,11,137,3,137,11,137,7
138,9,138,5,138,3,138,11,138,11
139,9,139,5,139,11,139,5,139,1
140,9,140,5,140,11,140,5,140,1
141,9,141,6,141,11,141,2,141,8
142,9,142,10,142,6,142,8,142,8
143,10,143,4,143,10,143,12,143,8
144,10,144,7,144,10,144,12,144,7
145,2,145,7,145,10,145,1,145,11
146,6,146,7,146,10,146,9,146,11
147,8,147,3,147,10,147,9,147,5
148,3,148,3,148,9,148,11,148,10
149,3,149,9,149,2,149,11,149,1
150,7,150,9,150,4,150,11,150,14
151,7,151,5,151,4,151,11,151,14
152,4,152,6,152,8,152,11,152,14
153,1,153,10,153,1,153,11,153,12
154,1,154,10,154,3,154,11,154,12
155,1,155,10,155,3,155,11,155,7
156,1,156,8,156,11,156,11,156,11
157,5,157,8,157,11,157,5,157,11
158,5,158,3,158,12,158,5,158,11
159,9,159,9,159,12,159,2,159,10
160,9,160,9,160,6,160,2,160,4
161,9,161,9,161,6,161,8,161,4
162,9,162,9,162,10,162,6,162,1
163,9,163,9,163,10,163,6,163,1
164,9,164,9,164,10,164,3,164,1
165,9,165,9,165,10,165,12,165,8
166,2,166,9,166,10,166,12,166,12
167,2,167,1,167,10,167,12,167,12
168,2,168,11,168,2,168,9,168,3
169,6,169,5,169,2,169,9,169,7
170,6,170,5,170,2,170,9,170,11
171,6,171,5,171,4,171,11,171,4
172,6,172,10,172,4,172,11,172,1
173,6,173,10,173,7,173,11,173,14
174,8,174,10,174,5,174,11,174,14
175,8,175,10,175,5,175,11,175,14
176,8,176,8,176,5,176,5,176,8
177,8,177,8,177,5,177,5,177,8
178,8,178,4,178,1,178,5,178,8
179,8,179,4,179,1,179,5,179,9
180,8,180,7,180,1,180,5,180,12
181,8,181,7,181,1,181,8,181,12
182,3,182,7,182,3,182,8,182,12
183,3,183,3,183,3,183,6,183,12
184,3,184,3,184,3,184,7,184,11
185,3,185,3,185,3,185,7,185,11
186,3,186,9,186,3,186,3,186,11
187,3,187,9,187,3,187,3,187,11
188,7,188,9,188,3,188,3,188,11
189,7,189,9,189,11,189,3,189,11
190,4,190,9,190,11,190,12,190,5
191,4,191,1,191,11,191,12,191,5
192,4,192,11,192,11,192,1,192,10
193,4,193,5,193,11,193,9,193,4
194,4,194,5,194,11,194,4,194,4
195,1,195,5,195,11,195,4,195,1
196,1,196,2,196,11,196,11,196,1
197,1,197,2,197,12,197,11,197,1
198,1,198,2,198,6,198,11,198,1
199,1,199,6,199,6,199,11,199,1
200,1,200,10,200,6,200,11,200,1
201,1,201,10,201,6,201,11,201,13
202,5,202,10,202,6,202,11,202,13
203,5,203,10,203,6,203,11,203,13
204,9,204,10,204,10,204,11,204,13
205,9,205,8,205,10,205,5,205,13
206,9,206,8,206,10,206,5,206,13
207,9,207,8,207,10,207,5,207,13
208,9,208,4,208,10,208,5,208,8
209,9,209,4,209,10,209,5,209,8
210,9,210,4,210,10,210,5,210,8
211,9,211,4,211,10,211,5,211,8
212,9,212,4,212,10,212,5,212,8
213,9,213,7,213,10,213,5,213,8
214,9,214,7,214,10,214,13,214,2
215,9,215,7,215,10,215,13,215,6
216,9,216,7,216,9,216,13,216,6
,,217,7,217,9,217,10,217,9
,,218,7,218,2,218,10,218,9
,,219,7,219,2,219,10,219,12
,,220,7,220,4,220,10,220,12
,,221,7,221,4,221,8,221,12
,,222,7,222,4,222,8,222,12
,,223,3,223,4,223,8,223,3
,,224,3,224,7,224,8,224,3
,,225,3,225,7,225,8,225,3
,,226,3,226,7,226,8,226,3
,,227,3,227,7,227,8,227,3
,,228,3,228,7,228,8,228,7
,,229,9,229,7,229,6,229,11
,,230,9,230,5,230,6,230,11
,,231,9,231,5,231,6,231,11
,,232,9,232,5,232,6,232,11
,,233,9,233,5,233,7,233,11
,,234,9,234,5,234,7,234,11
,,235,9,235,8,235,7,235,11
,,236,9,236,8,236,3,236,11
,,237,9,237,8,237,3,237,11
,,238,9,238,8,238,3,238,5
,,239,9,239,1,239,3,239,5
,,240,9,240,1,240,12,240,5
,,241,9,,,241,12,241,5
,,242,9,,,242,12,242,10
,,243,9,,,243,12,243,10
,,244,9,,,244,12,244,4
,,245,9,,,245,1,245,4
,,246,9,,,246,1,246,4
,,247,1,,,247,1,247,4
,,248,1,,,248,1,248,4
,,249,1,,,249,9,249,4
,,250,1,,,250,9,250,4
,,251,11,,,251,9,251,4
,,252,11,,,252,9,252,4
,,253,11,,,253,9,,
,,254,11,,,254,4,,
,,255,11,,,255,4,,
,,,,,,256,4,,
,,,,,,257,4,,
